Account,Security,Order ID,Trade Date,Trade Time,Side,Liquidity,Route,Quantity,Price,Lime Fee,ECN Fee,ACT Fee,SEC Fee,NASD Fee,Rounded Order Commission
MRTTRADING1,XLI,'34755203566247',9/18/2014,15:58:52,3,Removed,BSX,50,54.77,0.04,-0.02,0,0.06,0.01,0.09
MRTTRADING1,GDX,'34763793500839',9/18/2014,15:58:52,1,Removed,BATSY,100,23.16,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,GDX,'34780973370023',9/18/2014,15:58:52,1,Removed,EDGAA,100,23.16,0.08,-0.02,0,0,0,0.06
MRTTRADING1,GDX,'34798153239207',9/18/2014,15:58:52,1,Removed,BSX,100,23.16,0.08,-0.04,0,0,0,0.04
MRTTRADING1,LQD,'34849692846759',9/18/2014,15:58:52,1,Removed,BATSY,100,117.53,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,RSX,'34884052585127',9/18/2014,15:58:52,3,Removed-MidPoint,BATSY,100,23.705,0.08,0,0,0.05,0.02,0.15
MRTTRADING1,RSX,'34901232454311',9/18/2014,15:58:52,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'34909822388903',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,100,23.705,0.08,-0.03,0,0.05,0.02,0.12
MRTTRADING1,SPY,'35012901604007',9/18/2014,15:58:52,1,Removed,BATSY,100,201.75,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'35030081473191',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,SPY,'35038671407783',9/18/2014,15:58:52,1,Removed,BSX,100,201.75,0.08,-0.04,0,0,0,0.04
MRTTRADING1,GDX,'35090211015335',9/18/2014,15:58:52,1,Removed,BATSY,100,23.16,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,GDX,'35098800949927',9/18/2014,15:58:52,1,Removed,EDGAA,100,23.16,0.08,-0.02,0,0,0,0.06
MRTTRADING1,GDX,'35115980819111',9/18/2014,15:58:52,1,Removed,BSX,100,23.16,0.08,-0.04,0,0,0,0.04
MRTTRADING1,LQD,'35167520426663',9/18/2014,15:58:52,1,Removed,BATSY,100,117.53,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,RSX,'35201880165031',9/18/2014,15:58:52,3,Removed-MidPoint,BATSY,100,23.705,0.08,0,0,0.05,0.02,0.15
MRTTRADING1,RSX,'35210470099623',9/18/2014,15:58:52,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'35227649968807',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,11,23.705,0.0088,-0.0033,0,0.01,0.01,0.14
MRTTRADING1,RSX,'35227649968807',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,89,23.705,0.0712,-0.0267,0,0.05,0.02,0
MRTTRADING1,SPY,'35330729183911',9/18/2014,15:58:52,1,Removed,BATSY,100,201.75,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'35339319118503',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,SPY,'35356498987687',9/18/2014,15:58:52,1,Removed,BSX,100,201.75,0.08,-0.04,0,0,0,0.04
MRTTRADING1,GDX,'35408038595239',9/18/2014,15:58:52,1,Removed,BATSY,100,23.16,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,GDX,'35425218464423',9/18/2014,15:58:52,1,Removed,EDGAA,100,23.16,0.08,-0.02,0,0,0,0.06
MRTTRADING1,GDX,'35433808399015',9/18/2014,15:58:52,1,Removed,BSX,100,23.16,0.08,-0.04,0,0,0,0.04
MRTTRADING1,LQD,'35485348006567',9/18/2014,15:58:52,1,Removed,BATSY,100,117.53,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,RSX,'35519707744935',9/18/2014,15:58:52,3,Removed-MidPoint,BATSY,100,23.705,0.08,0,0,0.05,0.02,0.15
MRTTRADING1,RSX,'35528297679527',9/18/2014,15:58:52,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'35545477548711',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,89,23.705,0.0712,-0.0267,0,0.05,0.02,0.14
MRTTRADING1,RSX,'35545477548711',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,11,23.705,0.0088,-0.0033,0,0.01,0.01,0
MRTTRADING1,SPY,'35648556763815',9/18/2014,15:58:52,1,Removed,BATSY,100,201.75,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'35665736632999',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,SPY,'35682916502183',9/18/2014,15:58:52,1,Removed,BSX,100,201.75,0.08,-0.04,0,0,0,0.04
MRTTRADING1,LQD,'35777405782695',9/18/2014,15:58:52,1,Removed,BATSY,100,117.53,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,RSX,'35811765521063',9/18/2014,15:58:52,3,Removed-MidPoint,BATSY,100,23.705,0.08,0,0,0.05,0.02,0.15
MRTTRADING1,RSX,'35828945390247',9/18/2014,15:58:52,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'35837535324839',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,11,23.705,0.0088,-0.0033,0,0.01,0.01,0.14
MRTTRADING1,RSX,'35837535324839',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,89,23.705,0.0712,-0.0267,0,0.05,0.02,0
MRTTRADING1,SPY,'35940614539943',9/18/2014,15:58:52,1,Removed,BATSY,100,201.75,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'35949204474535',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,SPY,'35966384343719',9/18/2014,15:58:52,1,Removed,BSX,100,201.75,0.08,-0.04,0,0,0,0.04
MRTTRADING1,LQD,'36069463558823',9/18/2014,15:58:52,1,Removed,BATSY,100,117.53,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,RSX,'36103823297191',9/18/2014,15:58:52,3,Removed-MidPoint,BATSY,100,23.705,0.08,0,0,0.05,0.02,0.15
MRTTRADING1,RSX,'36112413231783',9/18/2014,15:58:52,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'36129593100967',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,89,23.705,0.0712,-0.0267,0,0.05,0.02,0.14
MRTTRADING1,RSX,'36129593100967',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,11,23.705,0.0088,-0.0033,0,0.01,0.01,0
MRTTRADING1,SPY,'36232672316071',9/18/2014,15:58:52,1,Removed,BATSY,100,201.75,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'36249852185255',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,SPY,'36258442119847',9/18/2014,15:58:52,1,Removed,BSX,100,201.75,0.08,-0.04,0,0,0,0.04
MRTTRADING1,LQD,'36361521334951',9/18/2014,15:58:52,1,Removed,BATSY,100,117.53,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,RSX,'36395881073319',9/18/2014,15:58:52,3,Removed-MidPoint,BATSY,100,23.705,0.08,0,0,0.05,0.02,0.15
MRTTRADING1,RSX,'36413060942503',9/18/2014,15:58:52,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'36421650877095',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,11,23.705,0.0088,-0.0033,0,0.01,0.01,0.14
MRTTRADING1,RSX,'36421650877095',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,89,23.705,0.0712,-0.0267,0,0.05,0.02,0
MRTTRADING1,SPY,'36524730092199',9/18/2014,15:58:52,1,Removed,BATSY,100,201.75,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'36541909961383',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,SPY,'36550499895975',9/18/2014,15:58:52,1,Removed,BSX,100,201.75,0.08,-0.04,0,0,0,0.04
MRTTRADING1,LQD,'36653579111079',9/18/2014,15:58:52,1,Removed,BATSY,100,117.53,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,RSX,'36687938849447',9/18/2014,15:58:52,3,Removed-MidPoint,BATSY,100,23.705,0.08,0,0,0.05,0.02,0.15
MRTTRADING1,RSX,'36705118718631',9/18/2014,15:58:52,3,Removed,EDGAA,30,23.7,0.024,-0.006,0,0.02,0.01,0.14
MRTTRADING1,RSX,'36705118718631',9/18/2014,15:58:52,3,Removed,EDGAA,70,23.7,0.056,-0.014,0,0.04,0.01,0
MRTTRADING1,RSX,'36713708653223',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,89,23.705,0.0712,-0.0267,0,0.05,0.02,0.14
MRTTRADING1,RSX,'36713708653223',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,11,23.705,0.0088,-0.0033,0,0.01,0.01,0
MRTTRADING1,SPY,'36816787868327',9/18/2014,15:58:52,1,Removed,BATSY,100,201.75,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,SPY,'36833967737511',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,SPY,'36842557672103',9/18/2014,15:58:52,1,Removed,BSX,100,201.75,0.08,-0.04,0,0,0,0.04
MRTTRADING1,LQD,'36945636887207',9/18/2014,15:58:52,1,Removed,BATSY,100,117.53,0.08,-0.16,0,0,0,-0.08
MRTTRADING1,RSX,'36979996625575',9/18/2014,15:58:52,3,Removed-MidPoint,BATSY,100,23.705,0.08,0,0,0.05,0.02,0.15
MRTTRADING1,RSX,'36988586560167',9/18/2014,15:58:52,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
MRTTRADING1,RSX,'37005766429351',9/18/2014,15:58:52,3,Removed,BSX,11,23.7,0.0088,-0.0044,0,0.01,0.01,0.14
MRTTRADING1,RSX,'37005766429351',9/18/2014,15:58:52,3,Removed-MidPoint,BSX,89,23.705,0.0712,-0.0267,0,0.05,0.02,0
MRTTRADING1,SPY,'37117435579047',9/18/2014,15:58:52,1,Removed,EDGAA,100,201.75,0.08,-0.02,0,0,0,0.06
MRTTRADING1,SPY,'37126025513639',9/18/2014,15:58:52,1,Removed,BSX,100,201.75,0.08,-0.04,0,0,0,0.04
MRTTRADING1,RSX,'37254874532519',9/18/2014,15:58:52,3,Removed-MidPoint,BATSY,100,23.705,0.08,0,0,0.05,0.02,0.15
MRTTRADING1,RSX,'37263464467111',9/18/2014,15:58:52,3,Removed,EDGAA,100,23.7,0.08,-0.02,0,0.05,0.02,0.13
